start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,alessio-di-mauro,,edwin-kempes,,budapest_challenger,Round of 16,2.0,f,100,4,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Hungary,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,alessio-di-mauro,,eric-scherer,,budapest_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Hungary,0.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,boris-borgula,,jan-vacek,,budapest_challenger,Round of 32,2.0,f,100,3,,,0.0,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Hungary,2.0,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,daniel-elsner,,ivaylo-traykov,,budapest_challenger,Round of 16,2.0,f,100,4,,,2.0,12.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Hungary,0.0,4.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,daniel-elsner,,jerome-golmard,,budapest_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,6.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Hungary,2.0,13.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,daniel-elsner,,stefano-galvani,,budapest_challenger,Round of 32,3.0,f,100,3,,,2.0,15.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Hungary,1.0,14.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,david-caballero,,florian-allgauer,,budapest_challenger,Round of 32,2.0,f,100,3,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Hungary,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,davide-sanguinetti,,florian-allgauer,,budapest_challenger,Round of 16,3.0,f,100,4,,,2.0,15.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,3,t,Hungary,1.0,9.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,davide-sanguinetti,,gergely-kisgyorgy,,budapest_challenger,Round of 32,3.0,f,100,3,,,2.0,18.0,12.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,3,f,Hungary,1.0,12.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Hungary
2000-05-22,2000-05-28,Hungary,Clay,25000.0,$,2000,davide-sanguinetti,,irakli-labadze,,budapest_challenger,Quarter-Finals,3.0,f,100,5,,,1.0,14.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,3,t,Hungary,2.0,17.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Hungary
