start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,adrian-ungur,,jean-julien-rojer,,rome_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,adrian-ungur,,martin-vassallo-arguello,,rome_challenger,Semi-Finals,3.0,f,100,6,,,2.0,16.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,1.0,15.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,adrian-ungur,,oliver-marach,,rome_challenger,Finals,3.0,f,100,7,,,1.0,15.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Italy,2.0,17.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,adrian-ungur,,paolo-lorenzi,,rome_challenger,Quarter-Finals,2.0,f,100,5,,,2.0,13.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,9.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,adrian-ungur,,stefan-wauters,,rome_challenger,Round of 16,2.0,f,100,4,,,2.0,13.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,7.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,amir-hadad,,chris-guccione,,rome_challenger,Round of 32,2.0,f,100,3,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Italy,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,andrea-roscioli,,lazar-magdincev,,rome_challenger,Round of 32,2.0,f,100,3,,,0.0,4.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Italy,2.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,andrea-stoppini,,martin-vassallo-arguello,,rome_challenger,Round of 32,2.0,f,100,3,,,0.0,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Italy,2.0,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,chris-guccione,,lazar-magdincev,,rome_challenger,Round of 16,2.0,f,100,4,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,Italy,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-05-01,2006-05-07,Italy,Clay,25000.0,$,2006,chris-guccione,,oliver-marach,,rome_challenger,Semi-Finals,3.0,f,100,6,,,1.0,16.0,17.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6,t,Italy,2.0,17.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
