start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,adam-chadaj,,alberto-brizzi,,genova_challenger,Round of 16,2.0,f,100,4,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,adam-chadaj,,pablo-andujar,,genova_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,adam-chadaj,,potito-starace,,genova_challenger,Quarter-Finals,3.0,f,100,5,,,1.0,12.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Italy,2.0,15.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,adrian-garcia,,gorka-fraile,,genova_challenger,Round of 16,3.0,f,100,4,,,1.0,10.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Italy,2.0,16.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,adrian-garcia,,tommaso-sanna,,genova_challenger,Round of 32,2.0,f,100,3,,,2.0,13.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,9.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,alberto-brizzi,,hector-ruiz-cadenas,,genova_challenger,Round of 32,3.0,f,100,3,,,2.0,15.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,f,Italy,1.0,12.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,alberto-giraudo,,marco-crugnola,,genova_challenger,Round of 32,2.0,f,100,3,,,0.0,8.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Italy,2.0,13.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,alessio-di-mauro,,giorgio-galimberti,,genova_challenger,Round of 16,2.0,f,100,4,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,2,f,Italy,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,alessio-di-mauro,,paolo-lorenzi,,genova_challenger,Round of 32,3.0,f,100,3,,,2.0,18.0,18.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,2,t,Italy,1.0,18.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-09-04,2006-09-10,Italy,Clay,25000.0,$,2006,andrea-arnaboldi,,benjamin-balleret,,genova_challenger,Round of 32,2.0,f,100,3,,,2.0,13.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,WC,t,Italy,0.0,5.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
