,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,albert-montanes,A. Montanes,jo-wilfried-tsonga,J. Tsonga,paris,Round of 32,2.0,f,1000,3,01:03:00,101.0,0.0,6.0,13.0,0.0,0.0,237.0,1.0,2.0,33.0,53.0,23.0,33.0,8.0,20.0,0.0,3.0,9.0,40.0,2.0,30.0,6.0,18.0,0.0,0.0,10.0,31.0,53.0,8.0,48.0,39.0,f,f,,f,France,2.0,13.0,6.0,0.0,333.0,12.0,2.0,30.0,48.0,28.0,30.0,12.0,18.0,0.0,0.0,10.0,223.0,10.0,33.0,12.0,20.0,3.0,3.0,9.0,40.0,48.0,22.0,53.0,62.0,t,f,t,France
1,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,albert-montanes,A. Montanes,victor-hanescu,V. Hanescu,paris,Round of 64,3.0,f,1000,2,02:08:00,204.0,2.0,16.0,15.0,1.0,1.0,285.0,4.0,0.0,68.0,109.0,51.0,68.0,21.0,41.0,3.0,4.0,15.0,131.0,10.0,59.0,21.0,36.0,1.0,2.0,15.0,72.0,109.0,31.0,95.0,103.0,t,f,,f,France,1.0,15.0,16.0,0.0,290.0,13.0,3.0,59.0,95.0,49.0,59.0,15.0,36.0,1.0,2.0,15.0,105.0,17.0,68.0,20.0,41.0,1.0,4.0,15.0,64.0,95.0,37.0,109.0,101.0,f,f,t,France
2,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,alberto-martin,A. Martin,fred-gil,F. Gil,paris,1st Round Qualifying,3.0,f,1000,0,02:37:00,232.0,1.0,16.0,19.0,1.0,1.0,250.0,2.0,3.0,69.0,123.0,45.0,69.0,29.0,54.0,11.0,15.0,17.0,111.0,18.0,66.0,19.0,43.0,2.0,7.0,17.0,74.0,123.0,37.0,109.0,111.0,f,f,,f,France,2.0,19.0,16.0,0.0,278.0,5.0,5.0,66.0,109.0,48.0,66.0,24.0,43.0,5.0,7.0,17.0,131.0,24.0,69.0,25.0,54.0,4.0,15.0,17.0,72.0,109.0,49.0,123.0,121.0,t,f,t,France
3,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,alejandro-falla,A. Falla,john-isner,J. Isner,paris,Round of 64,3.0,f,1000,2,02:18:00,216.0,1.0,17.0,18.0,0.0,1.0,309.0,12.0,3.0,74.0,107.0,61.0,74.0,18.0,33.0,4.0,5.0,17.0,81.0,19.0,81.0,10.0,28.0,1.0,6.0,17.0,79.0,107.0,29.0,109.0,108.0,f,f,Q,t,France,2.0,18.0,17.0,1.0,324.0,17.0,2.0,81.0,109.0,62.0,81.0,18.0,28.0,5.0,6.0,17.0,88.0,13.0,74.0,15.0,33.0,1.0,5.0,17.0,80.0,109.0,28.0,107.0,108.0,t,f,f,France
4,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,alejandro-falla,A. Falla,laurent-recouderc,L. Recouderc,paris,1st Round Qualifying,2.0,f,1000,0,01:11:00,119.0,2.0,12.0,6.0,0.0,0.0,260.0,4.0,7.0,39.0,62.0,32.0,39.0,7.0,23.0,5.0,6.0,9.0,197.0,10.0,26.0,18.0,31.0,4.0,7.0,9.0,39.0,62.0,28.0,57.0,67.0,t,f,9,t,France,0.0,6.0,12.0,0.0,208.0,5.0,2.0,26.0,57.0,16.0,26.0,13.0,31.0,3.0,7.0,9.0,116.0,7.0,39.0,16.0,23.0,1.0,6.0,9.0,29.0,57.0,23.0,62.0,52.0,f,f,f,France
5,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,alejandro-falla,A. Falla,marc-gicquel,M. Gicquel,paris,2nd Round Qualifying,3.0,f,1000,1,02:13:00,202.0,2.0,18.0,16.0,1.0,1.0,276.0,1.0,4.0,58.0,107.0,44.0,58.0,30.0,49.0,3.0,5.0,17.0,147.0,14.0,59.0,16.0,36.0,2.0,3.0,16.0,74.0,107.0,30.0,95.0,104.0,t,f,9,t,France,1.0,16.0,18.0,0.0,288.0,10.0,3.0,59.0,95.0,45.0,59.0,20.0,36.0,1.0,3.0,16.0,114.0,14.0,58.0,19.0,49.0,2.0,5.0,17.0,65.0,95.0,33.0,107.0,98.0,f,f,f,France
6,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,andreas-beck,A. Beck,lukasz-kubot,L. Kubot,paris,Round of 64,3.0,f,1000,2,02:04:00,169.0,1.0,14.0,15.0,0.0,0.0,280.0,8.0,2.0,60.0,97.0,45.0,60.0,19.0,37.0,7.0,9.0,15.0,162.0,8.0,46.0,10.0,26.0,1.0,1.0,14.0,64.0,97.0,18.0,72.0,82.0,f,f,,f,France,2.0,15.0,14.0,0.0,314.0,14.0,1.0,46.0,72.0,38.0,46.0,16.0,26.0,0.0,1.0,14.0,109.0,15.0,60.0,18.0,37.0,2.0,9.0,15.0,54.0,72.0,33.0,97.0,87.0,t,f,t,France
7,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,andreas-seppi,A. Seppi,fernando-verdasco,F. Verdasco,paris,Round of 32,3.0,f,1000,3,02:08:00,190.0,1.0,15.0,18.0,1.0,1.0,250.0,5.0,3.0,62.0,102.0,44.0,62.0,19.0,40.0,5.0,10.0,16.0,183.0,10.0,50.0,17.0,38.0,3.0,3.0,16.0,63.0,102.0,27.0,88.0,90.0,f,f,,t,France,2.0,18.0,15.0,0.0,280.0,9.0,2.0,50.0,88.0,40.0,50.0,21.0,38.0,0.0,3.0,16.0,163.0,18.0,62.0,21.0,40.0,5.0,10.0,16.0,61.0,88.0,39.0,102.0,100.0,t,f,f,France
8,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,andreas-seppi,A. Seppi,philipp-kohlschreiber,P. Kohlschreiber,paris,Round of 64,2.0,f,1000,2,00:57:00,101.0,2.0,12.0,6.0,0.0,0.0,304.0,7.0,1.0,33.0,50.0,26.0,33.0,11.0,17.0,2.0,3.0,9.0,198.0,12.0,33.0,11.0,18.0,4.0,7.0,9.0,37.0,50.0,23.0,51.0,60.0,t,f,,t,France,0.0,6.0,12.0,0.0,226.0,6.0,3.0,33.0,51.0,21.0,33.0,7.0,18.0,3.0,7.0,9.0,100.0,7.0,33.0,6.0,17.0,1.0,3.0,9.0,28.0,51.0,13.0,50.0,41.0,f,f,f,France
9,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,andy-murray,A. Murray,james-blake,J. Blake,paris,Round of 32,3.0,f,1000,3,02:14:00,222.0,2.0,19.0,16.0,1.0,2.0,308.0,21.0,3.0,67.0,106.0,56.0,67.0,19.0,39.0,2.0,3.0,17.0,120.0,24.0,69.0,19.0,47.0,2.0,6.0,16.0,75.0,106.0,43.0,116.0,118.0,t,f,4,t,France,1.0,16.0,19.0,1.0,270.0,4.0,5.0,69.0,116.0,45.0,69.0,28.0,47.0,4.0,6.0,16.0,105.0,11.0,67.0,20.0,39.0,1.0,3.0,17.0,73.0,116.0,31.0,106.0,104.0,f,f,f,France
10,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,andy-murray,A. Murray,radek-stepanek,R. Stepanek,paris,Round of 16,3.0,f,1000,4,01:37:00,148.0,1.0,13.0,13.0,0.0,0.0,261.0,11.0,3.0,41.0,80.0,35.0,41.0,16.0,39.0,3.0,6.0,13.0,162.0,8.0,41.0,16.0,27.0,3.0,5.0,13.0,51.0,80.0,24.0,68.0,75.0,f,f,4,t,France,2.0,13.0,13.0,0.0,260.0,5.0,2.0,41.0,68.0,33.0,41.0,11.0,27.0,2.0,5.0,13.0,147.0,6.0,41.0,23.0,39.0,3.0,6.0,13.0,44.0,68.0,29.0,80.0,73.0,t,f,f,France
11,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,arnaud-clement,A. Clement,feliciano-lopez,F. Lopez,paris,Round of 64,2.0,f,1000,2,00:51:00,78.0,2.0,12.0,4.0,0.0,0.0,339.0,6.0,0.0,28.0,38.0,25.0,28.0,7.0,10.0,0.0,0.0,8.0,243.0,12.0,27.0,9.0,13.0,4.0,5.0,8.0,32.0,38.0,21.0,40.0,53.0,t,f,Q,t,France,0.0,4.0,12.0,0.0,208.0,5.0,2.0,27.0,40.0,15.0,27.0,4.0,13.0,1.0,5.0,8.0,41.0,3.0,28.0,3.0,10.0,0.0,0.0,8.0,19.0,40.0,6.0,38.0,25.0,f,f,f,France
12,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,arnaud-clement,A. Clement,jonathan-dasnieres-de-veigy,J. Dasnieres de Veigy,paris,1st Round Qualifying,2.0,f,1000,0,01:22:00,121.0,2.0,13.0,7.0,1.0,1.0,312.0,4.0,2.0,30.0,57.0,25.0,30.0,20.0,27.0,1.0,1.0,10.0,145.0,6.0,35.0,19.0,29.0,2.0,5.0,9.0,45.0,57.0,25.0,64.0,70.0,t,f,7,t,France,0.0,7.0,13.0,0.0,251.0,7.0,5.0,35.0,64.0,29.0,35.0,10.0,29.0,3.0,5.0,9.0,43.0,5.0,30.0,7.0,27.0,0.0,1.0,10.0,39.0,64.0,12.0,57.0,51.0,f,f,f,France
13,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,arnaud-clement,A. Clement,novak-djokovic,N. Djokovic,paris,Round of 16,2.0,f,1000,4,01:16:00,102.0,0.0,4.0,12.0,0.0,0.0,176.0,2.0,2.0,30.0,57.0,18.0,30.0,7.0,27.0,4.0,9.0,8.0,118.0,6.0,30.0,8.0,15.0,1.0,3.0,8.0,25.0,57.0,14.0,45.0,39.0,f,f,Q,f,France,2.0,12.0,4.0,0.0,286.0,8.0,3.0,30.0,45.0,24.0,30.0,7.0,15.0,2.0,3.0,8.0,232.0,12.0,30.0,20.0,27.0,5.0,9.0,8.0,31.0,45.0,32.0,57.0,63.0,t,f,t,France
14,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,arnaud-clement,A. Clement,sergiy-stakhovsky,S. Stakhovsky,paris,2nd Round Qualifying,1.0,f,1000,1,00:50:00,68.0,0.0,5.0,6.0,0.0,0.0,240.0,5.0,1.0,17.0,36.0,13.0,17.0,9.0,19.0,2.0,4.0,6.0,149.0,5.0,24.0,6.0,8.0,1.0,3.0,5.0,22.0,36.0,11.0,32.0,33.0,t,t,7,f,France,1.0,6.0,5.0,0.0,261.0,3.0,1.0,24.0,32.0,19.0,24.0,2.0,8.0,2.0,3.0,5.0,160.0,4.0,17.0,10.0,19.0,2.0,4.0,6.0,21.0,32.0,14.0,36.0,35.0,f,t,t,France
15,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,arnaud-clement,A. Clement,tommy-haas,T. Haas,paris,Round of 32,3.0,f,1000,3,02:48:00,233.0,2.0,18.0,16.0,1.0,1.0,265.0,6.0,3.0,61.0,112.0,46.0,61.0,29.0,51.0,8.0,12.0,17.0,135.0,22.0,74.0,26.0,47.0,4.0,16.0,16.0,75.0,112.0,48.0,121.0,123.0,t,f,Q,f,France,1.0,16.0,18.0,0.0,256.0,16.0,11.0,74.0,121.0,52.0,74.0,21.0,47.0,12.0,16.0,16.0,124.0,15.0,61.0,22.0,51.0,4.0,12.0,17.0,73.0,121.0,37.0,112.0,110.0,f,f,t,France
16,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,benjamin-becker,B. Becker,michael-llodra,M. Llodra,paris,Round of 64,3.0,f,1000,2,01:41:00,161.0,2.0,15.0,11.0,0.0,0.0,290.0,9.0,3.0,49.0,82.0,39.0,49.0,17.0,33.0,3.0,4.0,13.0,202.0,14.0,49.0,15.0,30.0,3.0,3.0,13.0,56.0,82.0,29.0,79.0,85.0,t,f,,f,France,1.0,11.0,15.0,0.0,263.0,9.0,5.0,49.0,79.0,35.0,49.0,15.0,30.0,0.0,3.0,13.0,100.0,10.0,49.0,16.0,33.0,1.0,4.0,13.0,50.0,79.0,26.0,82.0,76.0,f,f,t,France
17,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,benjamin-becker,B. Becker,nikolay-davydenko,N. Davydenko,paris,Round of 32,2.0,f,1000,3,01:18:00,116.0,0.0,3.0,12.0,0.0,0.0,181.0,4.0,0.0,40.0,68.0,24.0,40.0,6.0,28.0,8.0,13.0,8.0,68.0,7.0,33.0,7.0,15.0,0.0,4.0,7.0,30.0,68.0,14.0,48.0,44.0,f,f,,f,France,2.0,12.0,3.0,0.0,304.0,5.0,2.0,33.0,48.0,26.0,33.0,8.0,15.0,4.0,4.0,7.0,219.0,16.0,40.0,22.0,28.0,5.0,13.0,8.0,34.0,48.0,38.0,68.0,72.0,t,f,t,France
18,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,david-guez,D. Guez,gael-monfils,G. Monfils,paris,Round of 32,2.0,f,1000,3,01:33:00,140.0,0.0,9.0,13.0,0.0,0.0,241.0,1.0,5.0,39.0,72.0,26.0,39.0,17.0,33.0,8.0,11.0,11.0,111.0,7.0,45.0,14.0,23.0,1.0,4.0,11.0,43.0,72.0,21.0,68.0,64.0,f,f,Q,f,France,2.0,13.0,9.0,0.0,287.0,11.0,3.0,45.0,68.0,38.0,45.0,9.0,23.0,3.0,4.0,11.0,135.0,13.0,39.0,16.0,33.0,3.0,11.0,11.0,47.0,68.0,29.0,72.0,76.0,t,f,t,France
19,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,david-guez,D. Guez,ivan-navarro,I. Navarro,paris,2nd Round Qualifying,2.0,f,1000,1,01:31:00,125.0,2.0,12.0,7.0,0.0,0.0,283.0,4.0,2.0,32.0,63.0,22.0,32.0,22.0,31.0,4.0,5.0,10.0,156.0,10.0,36.0,17.0,26.0,3.0,10.0,9.0,44.0,63.0,27.0,62.0,71.0,t,f,WC,t,France,0.0,7.0,12.0,0.0,240.0,11.0,2.0,36.0,62.0,26.0,36.0,9.0,26.0,7.0,10.0,9.0,90.0,10.0,32.0,9.0,31.0,1.0,5.0,10.0,35.0,62.0,19.0,63.0,54.0,f,f,f,France
20,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,david-guez,D. Guez,robert-kendrick,R. Kendrick,paris,1st Round Qualifying,2.0,f,1000,0,01:03:00,108.0,2.0,12.0,7.0,0.0,0.0,240.0,0.0,4.0,32.0,56.0,19.0,32.0,14.0,24.0,0.0,3.0,10.0,219.0,12.0,35.0,15.0,17.0,5.0,12.0,9.0,33.0,56.0,27.0,52.0,60.0,t,f,WC,t,France,0.0,7.0,12.0,0.0,198.0,12.0,3.0,35.0,52.0,23.0,35.0,2.0,17.0,7.0,12.0,9.0,213.0,13.0,32.0,10.0,24.0,3.0,3.0,10.0,25.0,52.0,23.0,56.0,48.0,f,f,f,France
21,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,david-guez,D. Guez,stan-wawrinka,S. Wawrinka,paris,Round of 64,2.0,f,1000,2,01:42:00,133.0,2.0,12.0,7.0,0.0,0.0,256.0,0.0,0.0,34.0,64.0,19.0,34.0,20.0,30.0,3.0,5.0,10.0,197.0,16.0,36.0,17.0,33.0,4.0,7.0,9.0,39.0,64.0,33.0,69.0,72.0,t,f,Q,t,France,0.0,7.0,12.0,0.0,214.0,4.0,1.0,36.0,69.0,20.0,36.0,16.0,33.0,3.0,7.0,9.0,137.0,15.0,34.0,10.0,30.0,2.0,5.0,10.0,36.0,69.0,25.0,64.0,61.0,f,f,f,France
22,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,edouard-roger-vasselin,E. Roger-Vasselin,marc-gicquel,M. Gicquel,paris,1st Round Qualifying,2.0,f,1000,0,01:18:00,123.0,0.0,8.0,12.0,0.0,0.0,212.0,2.0,5.0,36.0,72.0,22.0,36.0,16.0,36.0,3.0,7.0,10.0,130.0,9.0,33.0,6.0,18.0,2.0,4.0,10.0,38.0,72.0,15.0,51.0,53.0,f,f,WC,f,France,2.0,12.0,8.0,0.0,291.0,6.0,0.0,33.0,51.0,24.0,33.0,12.0,18.0,2.0,4.0,10.0,192.0,14.0,36.0,20.0,36.0,4.0,7.0,10.0,36.0,51.0,34.0,72.0,70.0,t,f,t,France
23,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,ernests-gulbis,,mathieu-rodrigues,,paris,1st Round Qualifying,1.0,f,1000,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6,,France,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,France
24,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,fabrice-santoro,F. Santoro,james-blake,J. Blake,paris,Round of 64,2.0,f,1000,2,01:15:00,118.0,0.0,7.0,12.0,0.0,0.0,208.0,0.0,1.0,34.0,55.0,20.0,34.0,7.0,21.0,2.0,6.0,9.0,131.0,13.0,38.0,11.0,25.0,2.0,6.0,10.0,27.0,55.0,24.0,63.0,51.0,f,f,,f,France,2.0,12.0,7.0,0.0,264.0,3.0,1.0,38.0,63.0,25.0,38.0,14.0,25.0,4.0,6.0,10.0,219.0,14.0,34.0,14.0,21.0,4.0,6.0,9.0,39.0,63.0,28.0,55.0,67.0,t,f,t,France
25,2009-11-08,2009-11-15,France,Hard,2227500.0,€,2009,fernando-gonzalez,F. Gonzalez,john-isner,J. Isner,paris,Round of 32,2.0,f,1000,3,01:30:00,156.0,2.0,14.0,11.0,1.0,1.0,319.0,13.0,3.0,48.0,72.0,42.0,48.0,13.0,24.0,3.0,3.0,12.0,99.0,17.0,60.0,12.0,24.0,1.0,8.0,12.0,55.0,72.0,29.0,84.0,84.0,t,f,10,t,France,0.0,11.0,14.0,0.0,296.0,13.0,1.0,60.0,84.0,43.0,60.0,12.0,24.0,7.0,8.0,12.0,59.0,6.0,48.0,11.0,24.0,0.0,3.0,12.0,55.0,84.0,17.0,72.0,72.0,f,f,f,France
