start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,denis-kudla,D. Kudla,savannah_challenger,Round of 32,2.0,f,100,3,01:34:00,139.0,2.0,13.0,9.0,1.0,1.0,246.0,0.0,3.0,55.0,70.0,33.0,55.0,6.0,15.0,4.0,7.0,10.0,198.0,16.0,38.0,17.0,31.0,5.0,9.0,11.0,39.0,70.0,33.0,69.0,72.0,t,f,4,t,USA,0.0,9.0,13.0,0.0,211.0,1.0,2.0,38.0,69.0,22.0,38.0,14.0,31.0,4.0,9.0,11.0,173.0,22.0,55.0,9.0,15.0,3.0,7.0,10.0,36.0,69.0,31.0,70.0,67.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,donald-young,D. Young,savannah_challenger,Round of 16,2.0,f,100,4,01:57:00,154.0,0.0,10.0,13.0,0.0,1.0,251.0,0.0,1.0,65.0,84.0,35.0,65.0,11.0,19.0,6.0,10.0,11.0,189.0,14.0,47.0,13.0,23.0,3.0,4.0,11.0,46.0,84.0,27.0,70.0,73.0,f,f,4,f,USA,2.0,13.0,10.0,1.0,250.0,1.0,3.0,47.0,70.0,33.0,47.0,10.0,23.0,1.0,4.0,11.0,164.0,30.0,65.0,8.0,19.0,4.0,10.0,11.0,43.0,70.0,38.0,84.0,81.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,alex-kuznetsov,A. Kuznetsov,bjorn-fratangelo,B. Fratangelo,savannah_challenger,Round of 32,2.0,f,100,3,01:26:00,129.0,2.0,13.0,7.0,1.0,1.0,283.0,3.0,4.0,45.0,66.0,35.0,45.0,10.0,21.0,0.0,1.0,10.0,185.0,14.0,32.0,15.0,31.0,3.0,5.0,9.0,45.0,66.0,29.0,63.0,74.0,t,f,SE,t,USA,0.0,7.0,13.0,0.0,225.0,2.0,2.0,32.0,63.0,18.0,32.0,16.0,31.0,2.0,5.0,9.0,184.0,10.0,45.0,11.0,21.0,1.0,1.0,10.0,34.0,63.0,21.0,66.0,55.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,alex-kuznetsov,A. Kuznetsov,rhyne-williams,R. Williams,savannah_challenger,Round of 16,2.0,f,100,4,01:19:00,108.0,2.0,12.0,4.0,0.0,0.0,270.0,4.0,0.0,37.0,49.0,24.0,37.0,6.0,12.0,5.0,7.0,8.0,235.0,17.0,32.0,18.0,27.0,6.0,15.0,8.0,30.0,49.0,35.0,59.0,65.0,t,f,SE,t,USA,0.0,4.0,12.0,0.0,156.0,0.0,3.0,32.0,59.0,15.0,32.0,9.0,27.0,9.0,15.0,8.0,139.0,13.0,37.0,6.0,12.0,2.0,7.0,8.0,24.0,59.0,19.0,49.0,43.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,alex-kuznetsov,A. Kuznetsov,ruben-ramirez-hidalgo,R. Ramirez Hidalgo,savannah_challenger,Quarter-Finals,3.0,f,100,5,02:05:00,176.0,1.0,13.0,16.0,0.0,0.0,249.0,3.0,2.0,54.0,98.0,34.0,54.0,25.0,44.0,13.0,17.0,15.0,138.0,7.0,36.0,16.0,42.0,2.0,3.0,14.0,59.0,98.0,23.0,78.0,82.0,f,f,SE,f,USA,2.0,16.0,13.0,0.0,273.0,3.0,4.0,36.0,78.0,29.0,36.0,26.0,42.0,1.0,3.0,14.0,130.0,20.0,54.0,19.0,44.0,4.0,17.0,15.0,55.0,78.0,39.0,98.0,94.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,bjorn-fratangelo,B. Fratangelo,dante-saleh,D. Saleh,savannah_challenger,1st Round Qualifying,2.0,f,100,0,01:10:00,109.0,2.0,12.0,4.0,0.0,0.0,308.0,3.0,1.0,27.0,45.0,23.0,27.0,11.0,18.0,3.0,3.0,8.0,180.0,18.0,38.0,13.0,26.0,4.0,12.0,8.0,34.0,45.0,31.0,64.0,65.0,t,f,7,t,USA,0.0,4.0,12.0,0.0,211.0,1.0,2.0,38.0,64.0,20.0,38.0,13.0,26.0,8.0,12.0,8.0,54.0,4.0,27.0,7.0,18.0,0.0,3.0,8.0,33.0,64.0,11.0,45.0,44.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,bjorn-fratangelo,B. Fratangelo,jeff-dadamo,J. Dadamo,savannah_challenger,2nd Round Qualifying,2.0,f,100,1,01:20:00,130.0,2.0,12.0,7.0,0.0,0.0,277.0,4.0,3.0,35.0,57.0,27.0,35.0,11.0,22.0,4.0,5.0,9.0,190.0,16.0,50.0,17.0,23.0,4.0,9.0,10.0,38.0,57.0,33.0,73.0,71.0,t,f,7,t,USA,0.0,7.0,12.0,0.0,220.0,1.0,3.0,50.0,73.0,34.0,50.0,6.0,23.0,5.0,9.0,10.0,104.0,8.0,35.0,11.0,22.0,1.0,5.0,9.0,40.0,73.0,19.0,57.0,59.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,bjorn-fratangelo,B. Fratangelo,takanyi-garanganga,T. Garanganga,savannah_challenger,3rd Round Qualifying,2.0,f,100,2,01:36:00,128.0,2.0,13.0,8.0,0.0,0.0,249.0,0.0,0.0,39.0,66.0,23.0,39.0,16.0,27.0,2.0,5.0,11.0,224.0,23.0,52.0,8.0,10.0,5.0,10.0,10.0,39.0,66.0,31.0,62.0,70.0,t,f,7,t,USA,0.0,8.0,13.0,0.0,207.0,0.0,3.0,52.0,62.0,29.0,52.0,2.0,10.0,5.0,10.0,10.0,169.0,16.0,39.0,11.0,27.0,3.0,5.0,11.0,31.0,62.0,27.0,66.0,58.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,bobby-reynolds,B. Reynolds,ze-zhang,Z. Zhang,savannah_challenger,Round of 32,2.0,f,100,3,01:19:00,124.0,0.0,7.0,12.0,0.0,0.0,234.0,1.0,3.0,43.0,58.0,27.0,43.0,5.0,15.0,6.0,9.0,9.0,127.0,10.0,46.0,14.0,20.0,1.0,4.0,10.0,32.0,58.0,24.0,66.0,56.0,f,f,,f,USA,2.0,12.0,7.0,0.0,269.0,6.0,5.0,46.0,66.0,36.0,46.0,6.0,20.0,3.0,4.0,10.0,170.0,16.0,43.0,10.0,15.0,3.0,9.0,9.0,42.0,66.0,26.0,58.0,68.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,bradley-klahn,B. Klahn,michael-russell,M. Russell,savannah_challenger,Round of 32,2.0,f,100,3,01:07:00,98.0,0.0,2.0,12.0,0.0,0.0,164.0,1.0,2.0,38.0,56.0,22.0,38.0,2.0,18.0,6.0,11.0,7.0,68.0,8.0,33.0,4.0,9.0,0.0,0.0,7.0,24.0,56.0,12.0,42.0,36.0,f,f,,f,USA,2.0,12.0,2.0,0.0,312.0,1.0,0.0,33.0,42.0,25.0,33.0,5.0,9.0,0.0,0.0,7.0,247.0,16.0,38.0,16.0,18.0,5.0,11.0,7.0,30.0,42.0,32.0,56.0,62.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,catalin-ionut-gard,C. Gard,fritz-wolmarans,F. Wolmarans,savannah_challenger,2nd Round Qualifying,3.0,f,100,1,01:48:00,155.0,1.0,11.0,14.0,0.0,0.0,237.0,1.0,4.0,55.0,84.0,35.0,55.0,13.0,29.0,6.0,10.0,12.0,166.0,12.0,49.0,13.0,22.0,3.0,5.0,13.0,48.0,84.0,25.0,71.0,73.0,f,f,,f,USA,2.0,14.0,11.0,0.0,262.0,3.0,3.0,49.0,71.0,37.0,49.0,9.0,22.0,2.0,5.0,13.0,164.0,20.0,55.0,16.0,29.0,4.0,10.0,12.0,46.0,71.0,36.0,84.0,82.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,catalin-ionut-gard,C. Gard,thai-son-kwiatkowski,T. Kwiatkowski,savannah_challenger,1st Round Qualifying,3.0,f,100,0,02:16:00,196.0,2.0,16.0,12.0,0.0,0.0,218.0,3.0,9.0,70.0,96.0,41.0,70.0,9.0,26.0,8.0,14.0,14.0,218.0,21.0,55.0,33.0,45.0,8.0,16.0,14.0,50.0,96.0,54.0,100.0,104.0,t,f,,t,USA,1.0,12.0,16.0,0.0,185.0,4.0,5.0,55.0,100.0,34.0,55.0,12.0,45.0,8.0,16.0,14.0,191.0,29.0,70.0,17.0,26.0,6.0,14.0,14.0,46.0,100.0,46.0,96.0,92.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,cedrik-marcel-stebe,C. Stebe,peter-polansky,P. Polansky,savannah_challenger,Round of 32,2.0,f,100,3,01:27:00,119.0,2.0,12.0,5.0,0.0,0.0,281.0,0.0,3.0,35.0,53.0,26.0,35.0,10.0,18.0,0.0,1.0,9.0,190.0,20.0,43.0,13.0,23.0,4.0,11.0,8.0,36.0,53.0,33.0,66.0,69.0,t,f,,t,USA,0.0,5.0,12.0,0.0,207.0,1.0,5.0,43.0,66.0,23.0,43.0,10.0,23.0,7.0,11.0,8.0,181.0,9.0,35.0,8.0,18.0,1.0,1.0,9.0,33.0,66.0,17.0,53.0,50.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,cedrik-marcel-stebe,C. Stebe,teymuraz-gabashvili,T. Gabashvili,savannah_challenger,Round of 16,3.0,f,100,4,02:19:00,189.0,1.0,11.0,17.0,0.0,0.0,190.0,0.0,5.0,62.0,96.0,33.0,62.0,12.0,34.0,6.0,14.0,14.0,167.0,18.0,51.0,23.0,42.0,5.0,12.0,14.0,45.0,96.0,41.0,93.0,86.0,f,f,,f,USA,2.0,17.0,11.0,0.0,229.0,3.0,3.0,51.0,93.0,33.0,51.0,19.0,42.0,7.0,12.0,14.0,226.0,29.0,62.0,22.0,34.0,8.0,14.0,14.0,52.0,93.0,51.0,96.0,103.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,daniel-regan,D. Regan,ricardo-rodriguez---pace,R. Rodriguez - Pace,savannah_challenger,2nd Round Qualifying,2.0,f,100,1,01:10:00,97.0,0.0,3.0,12.0,0.0,0.0,151.0,0.0,5.0,22.0,50.0,13.0,22.0,7.0,28.0,6.0,11.0,7.0,173.0,14.0,39.0,2.0,8.0,1.0,1.0,8.0,20.0,50.0,16.0,47.0,36.0,f,f,WC,f,USA,2.0,12.0,3.0,0.0,310.0,1.0,0.0,39.0,47.0,25.0,39.0,6.0,8.0,0.0,1.0,8.0,232.0,9.0,22.0,21.0,28.0,5.0,11.0,7.0,31.0,47.0,30.0,50.0,61.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,daniel-regan,D. Regan,sven-lalic,S. Lalic,savannah_challenger,1st Round Qualifying,2.0,f,100,0,01:48:00,133.0,2.0,12.0,6.0,0.0,0.0,239.0,0.0,3.0,28.0,67.0,18.0,28.0,23.0,39.0,7.0,9.0,9.0,204.0,13.0,29.0,22.0,37.0,5.0,11.0,9.0,41.0,67.0,35.0,66.0,76.0,t,f,WC,t,USA,0.0,6.0,12.0,0.0,180.0,2.0,6.0,29.0,66.0,16.0,29.0,15.0,37.0,6.0,11.0,9.0,121.0,10.0,28.0,16.0,39.0,2.0,9.0,9.0,31.0,66.0,26.0,67.0,57.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,denys-molchanov,D. Molchanov,nicolas-massu,N. Massu,savannah_challenger,Round of 32,3.0,f,100,3,03:56:00,289.0,1.0,17.0,19.0,1.0,2.0,226.0,1.0,2.0,104.0,163.0,51.0,104.0,33.0,59.0,17.0,24.0,17.0,176.0,38.0,92.0,17.0,34.0,6.0,12.0,17.0,84.0,163.0,55.0,126.0,139.0,f,f,SE,f,USA,2.0,19.0,17.0,1.0,241.0,0.0,5.0,92.0,126.0,54.0,92.0,17.0,34.0,6.0,12.0,17.0,165.0,53.0,104.0,26.0,59.0,7.0,24.0,17.0,71.0,126.0,79.0,163.0,150.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,donald-young,D. Young,facundo-arguello,F. Arguello,savannah_challenger,Semi-Finals,2.0,f,100,6,01:38:00,137.0,0.0,7.0,12.0,0.0,0.0,198.0,1.0,6.0,48.0,70.0,28.0,48.0,7.0,22.0,6.0,11.0,9.0,152.0,16.0,44.0,10.0,23.0,3.0,7.0,10.0,35.0,70.0,26.0,67.0,61.0,f,f,,f,USA,2.0,12.0,7.0,0.0,254.0,1.0,4.0,44.0,67.0,28.0,44.0,13.0,23.0,4.0,7.0,10.0,210.0,20.0,48.0,15.0,22.0,5.0,11.0,9.0,41.0,67.0,35.0,70.0,76.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,donald-young,D. Young,ricardo-rodriguez---pace,R. Rodriguez - Pace,savannah_challenger,Round of 32,2.0,f,100,3,01:20:00,106.0,2.0,12.0,6.0,0.0,0.0,281.0,0.0,0.0,30.0,50.0,22.0,30.0,12.0,20.0,1.0,2.0,9.0,220.0,18.0,43.0,10.0,13.0,4.0,7.0,9.0,34.0,50.0,28.0,56.0,62.0,t,f,,t,USA,0.0,6.0,12.0,0.0,208.0,0.0,5.0,43.0,56.0,25.0,43.0,3.0,13.0,3.0,7.0,9.0,128.0,8.0,30.0,8.0,20.0,1.0,2.0,9.0,28.0,56.0,16.0,50.0,44.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,donald-young,D. Young,teymuraz-gabashvili,T. Gabashvili,savannah_challenger,Quarter-Finals,2.0,f,100,5,01:44:00,145.0,2.0,13.0,8.0,1.0,1.0,302.0,1.0,3.0,59.0,78.0,44.0,59.0,10.0,19.0,5.0,5.0,10.0,143.0,17.0,37.0,11.0,30.0,2.0,5.0,10.0,54.0,78.0,28.0,67.0,82.0,t,f,,t,USA,0.0,8.0,13.0,0.0,249.0,0.0,3.0,37.0,67.0,20.0,37.0,19.0,30.0,3.0,5.0,10.0,72.0,15.0,59.0,9.0,19.0,0.0,5.0,10.0,39.0,67.0,24.0,78.0,63.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,facundo-arguello,F. Arguello,michael-russell,M. Russell,savannah_challenger,Quarter-Finals,2.0,f,100,5,01:31:00,114.0,2.0,12.0,8.0,0.0,0.0,283.0,3.0,2.0,32.0,58.0,24.0,32.0,16.0,26.0,3.0,4.0,10.0,200.0,16.0,42.0,8.0,14.0,3.0,4.0,10.0,40.0,58.0,24.0,56.0,64.0,t,f,,t,USA,0.0,8.0,12.0,0.0,247.0,0.0,3.0,42.0,56.0,26.0,42.0,6.0,14.0,1.0,4.0,10.0,98.0,8.0,32.0,10.0,26.0,1.0,4.0,10.0,32.0,56.0,18.0,58.0,50.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,facundo-arguello,F. Arguello,ryan-harrison,R. Harrison,savannah_challenger,Finals,2.0,f,100,7,01:19:00,111.0,0.0,5.0,12.0,0.0,0.0,198.0,0.0,6.0,28.0,53.0,16.0,28.0,11.0,25.0,1.0,5.0,8.0,105.0,10.0,36.0,9.0,22.0,1.0,4.0,9.0,27.0,53.0,19.0,58.0,46.0,f,f,,f,USA,2.0,12.0,5.0,0.0,282.0,2.0,1.0,36.0,58.0,26.0,36.0,13.0,22.0,3.0,4.0,9.0,229.0,12.0,28.0,14.0,25.0,4.0,5.0,8.0,39.0,58.0,26.0,53.0,65.0,t,f,t,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,facundo-arguello,F. Arguello,somdev-devvarman,S. Devvarman,savannah_challenger,Round of 16,2.0,f,100,4,01:29:00,122.0,2.0,12.0,7.0,0.0,0.0,242.0,1.0,3.0,28.0,67.0,22.0,28.0,18.0,39.0,4.0,6.0,9.0,234.0,15.0,34.0,12.0,21.0,5.0,6.0,10.0,40.0,67.0,27.0,55.0,67.0,t,f,,t,USA,0.0,7.0,12.0,0.0,207.0,0.0,4.0,34.0,55.0,19.0,34.0,9.0,21.0,1.0,6.0,10.0,130.0,6.0,28.0,21.0,39.0,2.0,6.0,9.0,28.0,55.0,27.0,67.0,55.0,f,f,f,USA
2013-04-22,2013-04-28,USA,Clay,50000.0,$,2013,facundo-arguello,F. Arguello,tim-smyczek,T. Smyczek,savannah_challenger,Round of 32,2.0,f,100,3,01:37:00,137.0,2.0,14.0,10.0,0.0,0.0,238.0,3.0,3.0,33.0,66.0,18.0,33.0,22.0,33.0,5.0,9.0,12.0,208.0,24.0,54.0,10.0,17.0,6.0,11.0,12.0,40.0,66.0,34.0,71.0,74.0,t,f,,t,USA,0.0,10.0,14.0,0.0,221.0,0.0,2.0,54.0,71.0,30.0,54.0,7.0,17.0,5.0,11.0,12.0,155.0,15.0,33.0,11.0,33.0,4.0,9.0,12.0,37.0,71.0,26.0,66.0,63.0,f,f,f,USA
