,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,alexandre-simoni,,david-miketa,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,8.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,13.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
1,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,alex-lopez-moron,,mehdi-tahiri,,tangier_challenger,Round of 32,3.0,f,100,3,,,2.0,13.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,7,f,Morocco,1.0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Morocco
2,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,alex-lopez-moron,,oliver-gross,,tangier_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,8.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,7,f,Morocco,2.0,12.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
3,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,alex-lopez-moron,,rogier-wassen,,tangier_challenger,Round of 16,2.0,f,100,4,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,7,t,Morocco,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Morocco
4,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,chemseddine-belal,,kris-goossens,,tangier_challenger,Round of 32,1.0,f,100,3,,,0.0,2.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,WC,f,Morocco,1.0,5.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,t,Morocco
5,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,cristian-kordasz,,rogier-wassen,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
6,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,daniel-melo,,mose-navarra,,tangier_challenger,Round of 32,2.0,f,100,3,,,2.0,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,,t,Morocco,0.0,1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,f,Morocco
7,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,daniel-melo,,mounir-el-aarej,,tangier_challenger,Round of 16,2.0,f,100,4,,,0.0,8.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,13.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
8,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,david-miketa,,razvan-sabau,,tangier_challenger,Round of 16,3.0,f,100,4,,,1.0,11.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Morocco,2.0,15.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Morocco
9,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,gorka-fraile,,oliver-gross,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,10.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,13.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
10,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,ion-moldovan,,mounir-el-aarej,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,8.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,13.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
11,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,ivan-navarro,,salvador-navarro,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,8.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Morocco,2.0,12.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
12,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,ivan-vajda,,werner-eschauer,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,8.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Morocco,2.0,12.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
13,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,jan-vacek,,martin-verkerk,,tangier_challenger,Round of 32,3.0,f,100,3,,,1.0,14.0,15.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,15.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
14,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,jan-weinzierl,,leonardo-azzaro,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
15,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,kris-goossens,,nicolas-thomann,,tangier_challenger,Round of 16,3.0,f,100,4,,,1.0,10.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,15.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
16,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,leonardo-azzaro,,werner-eschauer,,tangier_challenger,Round of 16,2.0,f,100,4,,,0.0,6.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,LL,f,Morocco,2.0,13.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
17,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,martin-verkerk,,oliver-gross,,tangier_challenger,Round of 16,2.0,f,100,4,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
18,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,marzio-martelli,,nicolas-thomann,,tangier_challenger,Round of 32,2.0,f,100,3,,,0.0,3.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
19,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,melle-van-gemerden,,salvador-navarro,,tangier_challenger,Round of 16,2.0,f,100,4,,,0.0,3.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
20,2000-10-02,2000-10-08,Morocco,Clay,25000.0,$,2000,melle-van-gemerden,,yuri-schukin,,tangier_challenger,Round of 32,2.0,f,100,3,,,2.0,13.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Morocco,0.0,7.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Morocco
