,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,andrea-stoppini,,benjamin-becker,,bronx_challenger,Round of 32,2.0,f,100,3,,,0.0,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,USA,2.0,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
1,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,arvind-parmar,,jeff-morrison,,bronx_challenger,Round of 32,2.0,f,100,3,,,0.0,7.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,LL,f,USA,2.0,13.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
2,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,benjamin-becker,,lamine-ouahab,,bronx_challenger,Round of 16,2.0,f,100,4,,,2.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,4,t,USA,0.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
3,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,benjamin-becker,,paul-capdeville,,bronx_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,6.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,4,f,USA,2.0,13.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
4,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,danai-udomchoke,,gilles-muller,,bronx_challenger,Quarter-Finals,2.0,f,100,5,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,USA,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
5,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,danai-udomchoke,,josh-goodall,,bronx_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,USA,0.0,8.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
6,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,danai-udomchoke,,michael-russell,,bronx_challenger,Semi-Finals,2.0,f,100,6,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6,f,USA,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
7,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,danai-udomchoke,,peter-luczak,,bronx_challenger,Round of 16,2.0,f,100,4,,,2.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,USA,0.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
8,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,dudi-sela,,tomas-zib,,bronx_challenger,Round of 32,2.0,f,100,3,,,0.0,7.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,USA,2.0,12.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
9,2006-08-14,2006-08-20,USA,Hard,50000.0,$,2006,gilles-muller,,robert-kendrick,,bronx_challenger,Round of 32,2.0,f,100,3,,,2.0,14.0,12.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,1,t,USA,0.0,12.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
